,Unnamed: 0,dR/dT,models,experiment,var
461,2,-0.0337741210873059,canesm5,slow,WS
462,3,0.1995829415433139,e3sm,slow,WS
463,4,0.0173183665274027,gfdl,slow,WS
464,5,0.0096566180922917,hg2,slow,WS
465,6,0.0474998301841172,hg3,slow,WS
466,7,-0.0062513812326131,ipsl,slow,WS
467,8,0.0278730951730614,mies2l,slow,WS
468,9,0.0339762028946059,miesm,slow,WS
469,10,0.0194845423897834,mi5,slow,WS
470,11,0.0404307969928287,mi6,slow,WS
471,12,-0.018450845048821,mpi,slow,WS
472,13,-0.0057001511652636,mrcgcm,slow,WS
473,14,0.0526395148210639,mresm,slow,WS
474,15,0.0371107766002228,ukesm,slow,WS
